"addressid","street","city","postalcode","latitude","longitude","state"
1,"163 fake Street","Carthage",62321,"42.04312","-94.73784","IL"
2,"677, fake Street","Edison",68936,"41.99145","-103.34611","NE"
3,"154, fake Street","Bethany",64424,"41.90538","-97.56184","MO"
4,"707, fake Street","Clay Center",68933,"42.10786","-101.59227","NE"
5,"217, fake Street","Albion",46701,"42.97002","-88.94877","IN"
6,"308, fake Street","Hampton",50441,"44.33265","-96.68334","IA"
7,"026, fake Street","Shelby",51570,"43.07102","-99.01941","IA"
8,"813, fake Street","Edison",68936,"41.87143","-103.33981","NE"
9,"582, fake Street","Pittsfield",62363,"41.0829","-94.3104","IL"
10,"501, fake Street","Leopold",47551,"39.67177","-90.09549","IL"
11,"743, fake Street","Sheffield",50475,"46.38174","-92.14026","IA"
12,"733, fake Street","Sac City",50583,"46.07227","-93.91527","IA"
13,"028, fake Street","Battle Creek",51006,"45.88508","-94.49498","IA"
14,"112, fake Street","Havelock",50574,"46.36619","-93.63721","IA"
15,"012, fake Street","Wawaka",46794,"45.03986","-84.37985","IN"
16,"834, fake Street","Fonda",50540,"46.22264","-93.76849","IA"
17,"058, fake Street","Ute",51060,"45.53324","-94.59197","IA"
18,"550, fake Street","Edison",68936,"43.80099","-98.72475","NE"
19,"846, fake Street","Altona",61414,"44.67619","-89.01749","IL"
20,"613, fake Street","Flat Rock",62427,"42.391528","-86.477042","IL"
